category,name,nat,instagram
Men,THIRION Rémi,FRA,https://www.instagram.com/remithirion/
Men,THURLOW Luca,GBR,https://www.instagram.com/lucathurlow/
Men,VANREUSEL Kelian,BEL,https://www.instagram.com/kelianvanreusel/
Men,VERGIER Loris,FRA,https://www.instagram.com/lorisvergier/
Men,VERMETTE Asa,USA,https://www.instagram.com/asavermette/
Men,VERNON Taylor,GBR,https://www.instagram.com/taylorvernon67/
Men,VIARDOT Kimi,FRA,https://www.instagram.com/kimiviardot/
Men,VIDAL Antoine,FRA,https://www.instagram.com/antoine_vidal07/
Men,VIEIRA Douglas,BRA,https://www.instagram.com/douglasvieiradh/
Men,VIEIRA Roger,BRA,https://www.instagram.com/rogervieira8/
Men,VIGE Gaëtan,FRA,https://www.instagram.com/gaetan_vige/
Men,WAITE Tyler,NZL,https://www.instagram.com/tyler_waite1/
Men,WALKER Matt,GBR,https://www.instagram.com/mattwalkerdh/
Men,WALLACE Mark,CAN,https://www.instagram.com/markwallacebike/
Men,WAYMAN Luke,NZL,https://www.instagram.com/lukewayman1/
Men,WEINHANDL Sebastian,AUT,https://www.instagram.com/sebixweini/
Men,WILLIAMS Jordan,GBR,https://www.instagram.com/jordanwilliams17/
Men,WILLIAMSON Greg,GBR,https://www.instagram.com/gregwilliamson1/
Men,WILLIAMSON Matthew Luke,GBR,https://www.instagram.com/luke_williamson14/
Men,WILSON Reece,GBR,https://www.instagram.com/reecowilson/
Men,WOOLLEY Kasper,CAN,https://www.instagram.com/kasper_woolley/
Men,ZWAR Oliver,SWE,https://www.instagram.com/oliverzwar/
Women,BALANCHE Camille,SUI,https://www.instagram.com/cam.bal/
Women,BAUMANN Lisa,SUI,https://www.instagram.com/_lisa.baumann._/
Women,BINDHAMMER Emma,AUT,https://www.instagram.com/emma_mtb_/
Women,BIRCHALL Bellah,NZL,https://www.instagram.com/bellahbirchall_/
Women,BLEWITT Jess,NZL,https://www.instagram.com/jessblewitt_/
Women,BONNAURE Lais,FRA,https://www.instagram.com/lais_bonnaure/
Women,BOULADOU Lisa,FRA,https://www.instagram.com/lisa_bouladou/
Women,CABIROU Marine,FRA,https://www.instagram.com/marine_cabirou/
Women,CARRICK-ANDERSON Emily,GBR,https://www.instagram.com/emilycarrickanderson/
Women,CHERECHES Luana-Maria,ROU,https://www.instagram.com/luanachereches
Women,CLAVEL Vicky,FRA,https://www.instagram.com/clavelvicky/
Women,DU TOIT Frances,RSA,https://www.instagram.com/frankiejdutoit/
Women,DUDEK Amelia,POL,https://www.instagram.com/amelia_dudekk/
Women,EARNEST Sacha,NZL,https://www.instagram.com/sachaearnestt/
Women,EMPEY Elise,AUS,https://www.instagram.com/elise.empey/
Women,FARINA Eleonora,ITA,https://www.instagram.com/elefarinamtb/
Women,FAYOLLE Zoé,FRA,https://www.instagram.com/fayolle_zoe/
Women,FERGUSON Louise-Anna,GBR,https://www.instagram.com/fergyferg__/
Women,FRENER Lina,AUT,https://www.instagram.com/linafrener/
Women,GALE Phoebe,GBR,https://www.instagram.com/_phoebegale/
Women,HARNDEN Harriet,GBR,https://www.instagram.com/hatt1e_harnden/
Women,HASTINGS Jenna,NZL,https://www.instagram.com/jennnahastings/
Women,HEMSTREET Gracey,CAN,https://www.instagram.com/graceyhemstreet/
Women,HENNESS Matilda,AUS,https://www.instagram.com/tillyhenness/
Women,HOFFMANN Nina,GER,https://www.instagram.com/nina.hoff96/
Women,HOGIE Abigail,USA,https://www.instagram.com/abby_hogie/
Women,HÖLL Valentina,AUT,https://www.instagram.com/valihoell/
Women,HORNE Megan,GBR,https://www.instagram.com/meganhorne56/
Women,HRASTNIK Monika,SLO,https://www.instagram.com/monikahrastnik/
Women,HULSEBOSCH Eliana,NZL,https://www.instagram.com/elliehulsebosch
Women,JENSEN Rosa,DEN,https://www.instagram.com/rosamariejensen08/
Women,JOHNSET Mille,NOR,https://www.instagram.com/millejohnset/
Women,KHAQIMAH Milatul,INA,https://www.instagram.com/milaaaaa_89/
Women,LEANEAGH Maylei,USA,https://www.instagram.com/maylei_826/
Women,LOFQVIST-TRAUM Julia,USA,https://www.instagram.com/shredulia/
Women,LOGAR Zanna,USA,https://www.instagram.com/z_logar/
